SHS,District,Location,Gender,Email,Region
Goka Senior High/Technical School,Jaman North,Goka,Mixed,gokashst@ges.gov.gh,Bono Region
Istiquaama Senior High School,Wenchi Municipal,Wenchi,Mixed,istiquaamashs@ges.gov.gh,Bono Region
Jinijini Senior High School,Berekum-municipal,Jinijini,Mixed,jinijinishs@ges.gov.gh,Bono Region
Koase Senior High/Technical School,Wenchi Municipal,Koase/Wenchi,Mixed,koaseshst@ges.gov.gh,Bono Region
Mansen Senior High School,Dormaa East,Wamfie,Mixed,mansenshs@ges.gov.gh,Bono Region
Menji Senior High School,Tain,Menji,Mixed,menjishs@ges.gov.gh,Bono Region
"Methodist Senior High/Technical School, Biadan",Berekum-municipal,Biadan,Mixed,methodistbiadanshst@ges.gov.gh,Bono Region
Nafana Senior High School,Jaman North,Sampa,Mixed,nafanashs@ges.gov.gh,Bono Region
Nkoranman Senior High School,Tain,Seikwa,Mixed,nkoranmanshs@ges.gov.gh,Bono Region
Nkrankwanta Comm Senior High School,Dormaa West,Nkrankwanta,Mixed,nkrankwantacommshs@ges.gov.gh,Bono Region
Nkyeraa Senior High School,Wenchi Municipal,Nchiraa,Mixed,nkyeraashs@ges.gov.gh,Bono Region
"Notre Dame Girls Senior High School, Sunyani",Sunyani West,Sunyani,Female,notredamegirlsshs@ges.gov.gh,Bono Region
Nsawkaw State Senior High School,Tain,Nsawkaw,Mixed,nsawkawstateshs@ges.gov.gh,Bono Region
Odomaseman Senior High School,Sunyani West,Odomase,Mixed,odomasemanshs@ges.gov.gh,Bono Region
Our Lady Of Providence Senior High School,Jaman South,Kwasi Buokrom,Female,ourladyofprovidenceshs@ges.gov.gh,Bono Region
"S.D.A Senior High School, Sunyani",Sunyani Municipal,Sunyani,Mixed,sdasunyanishs@ges.gov.gh,Bono Region
"Sacred Heart Senior High School, Nsoatre",Sunyani West,Nsoatre,Mixed,sacredheartshs@ges.gov.gh,Bono Region
"Salvation Army Senior High School, Aboabo Dormaa",Dormaa Central Municipal,Aboabo Dormaa,Mixed,salvationarmydormaashs@ges.gov.gh,Bono Region
"St. Ann’s Girls Senior High School, Sampa",Jaman North,Sampa,Female,st.annsgirlsshs@ges.gov.gh,Bono Region
"St. Augustine Senior High School, Nsapor Berekum",Berekum-municipal,Nsapor Berekum,Mixed,st.augustineberekumshs@ges.gov.gh,Bono Region
"St. James Sem & Senior High School, Abesim",Sunyani Municipal,Abesim,Male,st.jamessemshs@ges.gov.gh,Bono Region
Sumaman Senior High School,Jaman North,Suma-Ahenkro,Mixed,sumamanshs@ges.gov.gh,Bono Region
Sunyani Methodist Technical Inst.,Sunyani Municipal,Sunyani,Mixed,sunyanimethodisttechinst@ges.gov.gh,Bono Region
Sunyani Senior High School,Sunyani Municipal,Sunyani,Mixed,sunyanishs@ges.gov.gh,Bono Region
Twene Amanfo Senior High/Technical School,Sunyani Municipal,Sunyani,Mixed,tweneamanfoshst@ges.gov.gh,Bono Region
Wamanafo Senior High/Technical School,Dormaa East,Wamanafo,Mixed,wamanafoshst@ges.gov.gh,Bono Region
Wenchi Meth. Senior High School,Wenchi Municipal,Wenchi,Mixed,wenchimethshs@ges.gov.gh,Bono Region
Acherensua Senior High School,Asutifi South,Acherensua,Mixed,acherensuashs@ges.gov.gh,Ahafo Region
Ahafoman Senior High/Technicalnical School,Asunafo North Municipal,Goaso,Mixed,ahafomanshst@ges.gov.gh,Ahafo Region
Bechem Presby Senior High School,Tano South,Bechem,Mixed,bechempresbyshs@ges.gov.gh,Ahafo Region
Boakye Tromo Senior High/Technicalnical School,Tano North,Duayaw Nkwanta,Mixed,boakyetromoshst@ges.gov.gh,Ahafo Region
Bomaa Community Senior High School,Tano North,Bomaa,Mixed,bomaacommshs@ges.gov.gh,Ahafo Region
Derma Community Day Senior High School,Tano South,Derma,Mixed,dermacommshs@ges.gov.gh,Ahafo Region
Gyamfi Kumanini Senior High/Technicalnical School,Asutifi North,Wamahinso,Mixed,gyamfikumaninishst@ges.gov.gh,Ahafo Region
Hwidiem Senior High School,Asutifi South,Hwidiem,Mixed,hwidiemshs@ges.gov.gh,Ahafo Region
Kukuom Agric Senior High School,Asunafo South,Kukuom,Mixed,kukuomagricshs@ges.gov.gh,Ahafo Region
Mim Senior High School,Asunafo North Municipal,Mim,Mixed,mimshs@ges.gov.gh,Ahafo Region
"Ola Girls Senior High School, Kenyasi",Asutifi North,Kenyasi,Female,olagirlsshs@ges.gov.gh,Ahafo Region
Samuel Otu Presby Senior High School,Tano South,Techimantia,Mixed,samuelotupresbyshs@ges.gov.gh,Ahafo Region
Sankore Senior High School,Asunafo South,Sankore,Mixed,sankoreshs@ges.gov.gh,Ahafo Region
Serwaa Kesse Girls Senior High School,Tano North,Duayaw Nkwanta,Female,serwaakessegirlsshs@ges.gov.gh,Ahafo Region
Terchire Senior High School,Tano North,Terchire,Mixed,terchireshs@ges.gov.gh,Ahafo Region
Yamfo Anglican Senior High School,Tano North,Yamfo,Mixed,yamfoanglicanshs@ges.gov.gh,Ahafo Region
Awe Senior High/Technical School,Kasena-Nankani Municipal,Navrongo,Mixed,aweshst@ges.gov.gh,Upper East Region
Azeem-Namoa Senior High/Technical School,Bongo,Samboligo Amanga Nabiisi,Mixed,azeemnamoashst@ges.gov.gh,Upper East Region
Bawku Senior High School,Bawku Municipal,Bawku,Mixed,bawkushs@ges.gov.gh,Upper East Region
Bawku Senior High/Technical School,Bawku Municipal,Bawku,Mixed,bawkushst@ges.gov.gh,Upper East Region
Bawku Technical Institute,Bawku East,Bawku Kpalugu,Mixed,bawkutechinst@ges.gov.gh,Upper East Region
Binduri Community Senior High School,Binduri,Binduri,Mixed,binduricommshs@ges.gov.gh,Upper East Region
Bolga Girls Senior High School,Bolgatanga Municipal,Zaare Bolgatanga,Female,bolgagirlsshs@ges.gov.gh,Upper East Region
Bolga Sherigu Community Senior High School,Bolgatanga Municipal,Bolga,Mixed,bolgasherigucommshs@ges.gov.gh,Upper East Region
Bolga Technical Institute,Bolgatanga,Bolgatanga,Mixed,bolgatechinst@ges.gov.gh,Upper East Region
Bolgatanga Senior High School,Talensi,Bolgatanga,Mixed,bolgatangashs@ges.gov.gh,Upper East Region
Bongo Senior High School,Bongo,Bongo,Mixed,bongoshs@ges.gov.gh,Upper East Region
Chiana Senior High School,Kasena-Nankani West,Chiana,Mixed,chianashs@ges.gov.gh,Upper East Region
Fumbisi Senior High School,Builsa South,Fumbisi,Mixed,fumbisishs@ges.gov.gh,Upper East Region
Gambigo Community Day Senior High School,Bolga East,Gambigo,Mixed,gambigocommshs@ges.gov.gh,Upper East Region
Garu Community Day Senior High School,Garu Tempane,Garu,Mixed,garucommshs@ges.gov.gh,Upper East Region
Gowrie Senior High/Technical School,Bongo,Gowrie,Mixed,gowrieshst@ges.gov.gh,Upper East Region
Kanjaga Community Senior High School,Builsa North,Kanjaga,Mixed,kanjagacommshs@ges.gov.gh,Upper East Region
Kongo Senior High School,Nabdam,Kongo,Mixed,kongoshs@ges.gov.gh,Upper East Region
Kusanaba Senior High School,Bawku West,Kusanaba,Mixed,kusanabashs@ges.gov.gh,Upper East Region
Mirigu Community Day Senior High School,Kasena-Nankani West,Mirigu,Mixed,mirigucommshs@ges.gov.gh,Upper East Region
Nabango Senior High School,Kasena-Nankani West,Nabango,Mixed,nabangoshs@ges.gov.gh,Upper East Region
Navrongo Senior High School,Kasena-Nankani Municipal,Janania Navrongo,Mixed,navrongoshs@ges.gov.gh,Upper East Region
Notre Dame Sem/ Senior High School Navrongo,Kasena-Nankani Municipal,Navrongo,Male,notredamesemshs@ges.gov.gh,Upper East Region
O.l.l. Girls Senior High School,Kasena-Nankani,Navrongo,Female,ourladyoflourdesgilrlsshs@ges.gov.gh,Upper East Region
Paga Senior High School,Kasena-Nankani West,Paga,Mixed,pagashs@ges.gov.gh,Upper East Region
Sandema Senior High School,Builsa North,Sandema,Mixed,sandemashs@ges.gov.gh,Upper East Region
Sandema Senior High/Technical School,Builsa North,Dampong,Mixed,sandemashst@ges.gov.gh,Upper East Region
Sirigu Integrated Senior High School,Kasena-Nankani West,Sirigu,Mixed,sirigushs@ges.gov.gh,Upper East Region
St. Bernadettes Tech/Vocational Inst.,Kasena Nanakana East,Navrongo,Mixed,stbernadettestechvocinst@ges.gov.gh,Upper East Region
St. John’s Integrated Senior High/Technical School,Kasena-Nankani Municipal,Tono,Mixed,stjohnsintegratedshst@ges.gov.gh,Upper East Region
Tempane Senior High School,Garu Tempani,Tempane,Mixed,tempaneshs@ges.gov.gh,Upper East Region
Tongo Senior High/Technical School,Talensi,Tongo,Mixed,tongoshst@ges.gov.gh,Upper East Region
Wiaga Community Senior High School,Builsa North,Wiaga,Mixed,wiagacommshs@ges.gov.gh,Upper East Region
Zamse Senior High/Technical School,Bolgatanga Municipal,Bolgatanga,Mixed,zamseshst@ges.gov.gh,Upper East Region
Zebilla Senior High/Technical School,Bawku West,Zebilla,Mixed,zebillashst@ges.gov.gh,Upper East Region
Zorkor Senior High School,Bongo,Zorkor,Mixed,zorkorshs@ges.gov.gh,Upper East Region
Zuarungu Senior High School,Bolgatanga Municipal,Zuarungu,Mixed,zuarungushs@ges.gov.gh,Upper East Region
Birifoh Senior High School,Lawra,Lawra,Mixed,birifohshs@ges.gov.gh,Upper West Region
Daffiamah Senior High School,Bussie-issa,Daffiamah,Mixed,daffiamahshs@ges.gov.gh,Upper West Region
Dr. Hila Liman Senior High School,Sisala West,Gwollu,Mixed,drhilalimanshs@ges.gov.gh,Upper West Region
Eremon Senior High/Technical School,Lawra,Eremon,Mixed,eremonshst@ges.gov.gh,Upper West Region
Funsi Senior High School,Wa East,Funsi,Mixed,funsishs@ges.gov.gh,Upper West Region
Han Senior High School,Jirapa,Jirapa,Mixed,hanshs@ges.gov.gh,Upper West Region
Holy Family Senior High School,Nandom,Hamile,Mixed,holyfamilyshs@ges.gov.gh,Upper West Region
"Islamic Senior High School, Wa",Wa Municipal,Wa,Mixed,islamicwashs@ges.gov.gh,Upper West Region
Jamiat Al-hidaya Islamic Girls Senior High School,Wa Municipal,Wa,Female,jamiatalhidayaislamicgirlsshs@ges.gov.gh,Upper West Region
Jirapa Senior High School,Jirapa,Jirapa-town,Mixed,jirapashs@ges.gov.gh,Upper West Region
Kaleo Senior High/Technical School,Nadowli,Kaleo,Mixed,kaleoshst@ges.gov.gh,Upper West Region
Kanton Senior High School,Sisala East,Tumu,Mixed,kantonshs@ges.gov.gh,Upper West Region
Ko Senior High School,Nandom,Ko-nandom,Mixed,koshs@ges.gov.gh,Upper West Region
Lambussie Comm Senior High School,Lambusie Karni,Lambussie,Mixed,lambussiecommshs@ges.gov.gh,Upper West Region
Lassie-tuolu Senior High School,Wa West,Lassie,Mixed,lassietuolushs@ges.gov.gh,Upper West Region
Lawra Senior High School,Lawra,Lawra,Mixed,lawrashs@ges.gov.gh,Upper West Region
Loggu Community Day School,Wa East,Loggu,Mixed,loggucommshs@ges.gov.gh,Upper West Region
Nandom Senior High School,Nandom,Nandom,Male,nandomshs@ges.gov.gh,Upper West Region
Northern Star Senior High School,Wa Municipal,"Mangu, Wa",Mixed,northernstarshs@ges.gov.gh,Upper West Region
Piina Senior High School,Lambusie Karni,Piina,Mixed,piinashs@ges.gov.gh,Upper West Region
Queen Of Peace Senior High School,Nadowli,Nadowli Nadowli,Mixed,queenofpeaceshs@ges.gov.gh,Upper West Region
Sombo Senior High School,Nadowli Kaleo,Sombo,Female,somboshs@ges.gov.gh,Upper West Region
"St. Augustine Senior High/Technical School, Saan Charikpong",Nadowli,"Saan, Charikpong",Mixed,st.augustinecharikpongshst@ges.gov.gh,Upper West Region
St. Basilides Vocational/Technical Institute,Nadowli Kaleo,Kaleo,Mixed,stbasilidestechvocinst@ges.gov.gh,Upper West Region
"St. Francis Girls Senior High School, Jirapa",Jirapa,Jirapa,Female,stfrancisgirlsshs@ges.gov.gh,Upper West Region
St.john’s Vocational Tech. Institute,Nandom,Nandom,Mixed,stjohnstechvocinst@ges.gov.gh,Upper West Region
"T. I. Ahmadiyya Senior High School, Wa",Wa Municipal,Wa,Mixed,tiahmadiyyawashs@ges.gov.gh,Upper West Region
Takpo Senior High School,Nadowli,Takpo,Mixed,takposhst@ges.gov.gh,Upper West Region
Tumu Senior High/Technical School,Sisala East,Tumu,Mixed,tumushst@ges.gov.gh,Upper West Region
Ullo Senior High School,Jirapa,Ullo,Mixed,ulloshs@ges.gov.gh,Upper West Region
Wa Senior High School,Wa Municipal,Wa,Mixed,washs@ges.gov.gh,Upper West Region
Wa Senior High/Technical School,Wa Municipal,Wa,Mixed,washst@ges.gov.gh,Upper West Region
Wa Technical Institute,Wa Municipal,Wa,Mixed,watechinst@ges.gov.gh,Upper West Region
Abor Senior High School,Anlo Keta Municipal,Abor,Mixed,aborshs@ges.gov.gh,Volta Region
Abuadi/tsrefe Senior High School,Adaklu,Adaklu – Abuadi,Mixed,abuaditsrefeCommunityshs@ges.gov.gh,Volta Region
Abutia Senior High/Technical School,Ho West,Abutia,Mixed,abutiashst@ges.gov.gh,Volta Region
Adaklu Senior High School,Adaklu-Anyigbe,Adaklu,Mixed,adaklushs@ges.gov.gh,Volta Region
Adidome Senior High School,Central Tongu,Adidome,Mixed,adidomeshs@ges.gov.gh,Volta Region
Afadjato Senior High/Technical School,Hohoe Municipal,Gbledi Gbogame,Mixed,afadjatoshst@ges.gov.gh,Volta Region
Afife Senior High Tech School,Ketu North,Afife,Mixed,afifeshst@ges.gov.gh,Volta Region
Agate Community Senior High School,Afadzato South,Agate,Mixed,agatecommshs@ges.gov.gh,Volta Region
Agotime Senior High School,Agortime Ziope,Kpetoe,Mixed,agotimeshs@ges.gov.gh,Volta Region
Akatsi Senior High/Technical School,Akatsi,Akatsi,Mixed,akatsishst@ges.gov.gh,Volta Region
Akome Senior High/Technical School,Ho West,Akome,Mixed,akomeshst@ges.gov.gh,Volta Region
Akpafu Senior High/Technical School,Hohoe Municipal,Akpafu,Mixed,akpafushst@ges.gov.gh,Volta Region
Alavanyo Senior High/Technical School,Hohoe Municipal,Alavanyo Kpeme,Mixed,alavanyoshst@ges.gov.gh,Volta Region
Amedzofe Technical Institute,Ho West,Amedzofe,Mixed,amedzofetechinst@ges.gov.gh,Volta Region
Anfoega Senior High School,North Dayi,Anfoega,Mixed,anfoegashs@ges.gov.gh,Volta Region
Anlo Afiadenyigba Senior High School,Anlo Keta Municipal,Anlo Afiadenyigba,Mixed,anloafiadenyigbashs@ges.gov.gh,Volta Region
Anlo Awomefia Senior High School,Anlo Keta Municipal,Anyako,Mixed,anloawomefiashs@ges.gov.gh,Volta Region
Anlo Senior High School,Anlo Keta Municipal,Anloga,Mixed,anloshs@ges.gov.gh,Volta Region
Anlo Technical Institute,Keta,Anloga,Mixed,anlotechinst@ges.gov.gh,Volta Region
Atiavi Senior High/Technical School,Anlo Keta Municipal,Atiavi,Mixed,atiavishst@ges.gov.gh,Volta Region
Avatime Senior High School,Ho West,Vane,Mixed,avatimeshs@ges.gov.gh,Volta Region
Ave Senior High School,Akatsi North,Ave-Dakpa,Mixed,aveshs@ges.gov.gh,Volta Region
Avenor Senior High School,Akatsi South,Avenorkpeme,Mixed,avenorshs@ges.gov.gh,Volta Region
Aveyime Battor Senior High/Technical School,North Tongu,Aveyime Battor,Mixed,aveyimebattorshst@ges.gov.gh,Volta Region
Awudome Senior High School,Ho Municipal,Tsito,Mixed,awudomeshs@ges.gov.gh,Volta Region
Battor Senior High School,North Tongu,Battor,Mixed,battorshs@ges.gov.gh,Volta Region
Bishop Herman College,Kpando,Kpando,Male,bishophermancollegeshs@ges.gov.gh,Volta Region
C.y.o.Vocational Technical Institute,Kpando,Sovie,Mixed,cyotechvocinst@ges.gov.gh,Volta Region
Comboni Tech/Voc Inst.,South Tongu,Sogakope,Mixed,combonitechvocinst@ges.gov.gh,Volta Region
Dabala Senior High/Technical.,South Tongu,Dabala,Mixed,dabalashst@ges.gov.gh,Volta Region
Dofor Senior High School,North Tongu,Juapong,Mixed,doforshs@ges.gov.gh,Volta Region
Dzodze Penyi Senior High School,Ketu North,Dzodze,Mixed,dzodzepenyishs@ges.gov.gh,Volta Region
Dzolo Senior High School,Ho West,Dzolo,Mixed,dzoloshs@ges.gov.gh,Volta Region
E. P. Senior High School,Hohoe Municipal,Hohoe,Mixed,epshs@ges.gov.gh,Volta Region
E. P. Technical Vocational Institute Alavanyo,Hohoe,Forson Dotse,Mixed,eptechvocinst@ges.gov.gh,Volta Region
E.P.C. Mawuko Girls Senior High School,Ho Municipal,Ho,Female,epcmawukogirlsshs@ges.gov.gh,Volta Region
Have Technical Institute,Afadzto South,Have,Mixed,havetechinst@ges.gov.gh,Volta Region
Jim Bourton Mem Agric. Senior High School,Afadzato South,Logba Adzokoe,Mixed,jimbourtonmemagricshs@ges.gov.gh,Volta Region
Keta Business Senior High School,Anlo Keta Municipal,Keta,Mixed,ketabusinessshs@ges.gov.gh,Volta Region
Keta Senior High/Technical School,Keta,Keta,Mixed,ketashst@ges.gov.gh,Volta Region
Klikor Senior High/Technical School,Ketu South,Klikor,Mixed,klikorshst@ges.gov.gh,Volta Region
Kpando Senior High School,Kpando,Kpando,Mixed,kpandoshs@ges.gov.gh,Volta Region
Kpando Technical Institute,Kpando,Kpando,Mixed,kpandotechinst@ges.gov.gh,Volta Region
Kpedze Senior High School,Ho West,Kpedze,Mixed,kpedzesehs@ges.gov.gh,Volta Region
Kpeve Senior High School,South Dayi,Kpeve,Mixed,kpeveshs@ges.gov.gh,Volta Region
Leklebi Senior High School,Afadzato South,Leklebi,Mixed,leklebishs@ges.gov.gh,Volta Region
Likpe Senior High School,Hohoe Municipal,Likpe-Mate,Mixed,likpeshs@ges.gov.gh,Volta Region
Mafi-Kumasi Senior High/Technical School,Central Tongu,Mafi-Kumasi,Mixed,mafikumasishst@ges.gov.gh,Volta Region
"Mawuli School, Ho",Ho Municipal,Ho,Mixed,mawulischoolshs@ges.gov.gh,Volta Region
Mepe St. Kizito Senior High/Technical School,North Tongu,Mepe,Mixed,mepestkizitoshst@ges.gov.gh,Volta Region
"Ola Girls Senior High School, Ho",Ho Municipal,Ho,Female,olagirlsshs@ges.gov.gh,Volta Region
Peki Senior High School,South Dayi,Peki,Mixed,pekishs@ges.gov.gh,Volta Region
Peki Senior High/Technicalnical School,South Dayi,Peki,Mixed,pekishst@ges.gov.gh,Volta Region
Shia Senior Hightechnical School,Ho Municipal,Shia,Mixed,shiashst@ges.gov.gh,Volta Region
Sogakope Senior High School,South Tongu,Sogakope,Mixed,sogakopeshs@ges.gov.gh,Volta Region
Sokode Senior High/Technical School,Ho Municipal,Sokode,Mixed,sokodeshst@ges.gov.gh,Volta Region
Some Senior High School,Ketu South,Agbozume,Mixed,someshs@ges.gov.gh,Volta Region
St. Catherine Girls Senior High School,South Tongu,Agbakope,Female,stcatherinegirlsshs@ges.gov.gh,Volta Region
St. Daniel Comboni Tech/voc Inst.,Afadzto South,Liati,Mixed,stdanielcombonitechvocinst@ges.gov.gh,Volta Region
"St. Mary’s Sem.& Senior High School, Lolobi",Hohoe Municipal,Lolobi,Male,stmaryssemshs@ges.gov.gh,Volta Region
"St. Paul’s Senior High School, Denu",Ketu South,Hatsukope/ Denu,Male,stpaulsdenushs@ges.gov.gh,Volta Region
Tanyigbe Senior High School,Ho Municipal,Tanyigbe,Mixed,tanyigbeshs@ges.gov.gh,Volta Region
Taviefe Community Senior High School,Ho Municipal,Taviefe,Mixed,taviefecommshs@ges.gov.gh,Volta Region
Three Town Senior High School,Ketu South,Denu,Mixed,threetownshs@ges.gov.gh,Volta Region
Tongor Senior High Tech School,South Dayi,Kpeve,Mixed,tongorshst@ges.gov.gh,Volta Region
Tsiame Senior High School,Anlo Keta Municipal,Tsiame,Mixed,tsiameshs@ges.gov.gh,Volta Region
Tsito Senior High/Technical School,Ho West,Tsito,Mixed,tsitoshst@ges.gov.gh,Volta Region
Vakpo Senior High School,North Dayi,Vakpo,Mixed,vakposhs@ges.gov.gh,Volta Region
Vakpo Senior High/Technical School,North Dayi,Vakpo,Mixed,vakposhst@ges.gov.gh,Volta Region
Ve Community Senior High School,Afadzato South,Ve-Koloenu,Mixed,vecommshs@ges.gov.gh,Volta Region
Volo Community Senior High School,North Tongu,Volo,Mixed,volocommshs@ges.gov.gh,Volta Region
Volta Senior High School,Anlo Keta Municipal,Dzita Agbledomi,Mixed,voltashs@ges.gov.gh,Volta Region
Volta Technical Institute,Ho,Matse,Mixed,voltatechinst@ges.gov.gh,Volta Region
Weta Senior High/Technical School,Ketu North,Weta,Mixed,wetashst@ges.gov.gh,Volta Region
Wovenu Senior High Technical School,Ketu North,Tadzewu,Mixed,wovenushst@ges.gov.gh,Volta Region
Zion Senior High School,Anlo Keta Municipal,Anloga,Mixed,zionshs@ges.gov.gh,Volta Region
Ziope Senior High School,Agortime Ziope,Ziope,Mixed,ziopeshs@ges.gov.gh,Volta Region
Adjoafua Community Senior High School,Bia West,Adjoafua,Mixed,adjoafuacommshs@ges.gov.gh,Western North Region
Akontombra Senior High School,Sefwi Akontombra,Akontombra,Mixed,akontombrashs@ges.gov.gh,Western North Region
Asawinso Senior High School,Sefwi Wiawso,Asawinso,Mixed,asawinsoshs@ges.gov.gh,Western North Region
Bia Senior High/Technical School,Bia West,Debiso Essiam,Mixed,biashst@ges.gov.gh,Western North Region
Bibiani Senior High/Technical School,Bibiani/Anhwiaso/Bekwai,Bibiani,Mixed,bibianishst@ges.gov.gh,Western North Region
Bodi Senior High School,Bodi,Bodi,Mixed,bodishs@ges.gov.gh,Western North Region
Chirano Community Day Senior High School,Bibiani/Anhwiaso/Bekwai,Chirano,Mixed,chiranocommshs@ges.gov.gh,Western North Region
Dadieso Senior High School,Suaman,Dadieso,Mixed,dadiesoshs@ges.gov.gh,Western North Region
Juaboso Senior High School,Juabeso,Juaboso,Mixed,juabososhs@ges.gov.gh,Western North Region
Manso-Amenfi Community Day Senior High School,Wassa Amenfi Central,Manso-Amenfi,Mixed,mansoamenficommshs@ges.gov.gh,Western North Region
Nana Brentu Senior High/Technical School,Aowin Suaman,Enchi,Mixed,nanabrentushst@ges.gov.gh,Western North Region
Nsawora Edumafa Community Senior High School,Sefwi Akontombra,Nsawora Edumafa,Mixed,nsaworaedumafacommshs@ges.gov.gh,Western North Region
"Queens Girls’ Senior High School, Sefwi Awhiaso",Bibiani/Anhwiaso/Bekwai,Sefwi Anwhiaso,Female,queensgirlsshs@ges.gov.gh,Western North Region
Sefwi Bekwai Senior High School,Bibiani/Anhwiaso/Bekwai,Sefwi Bekwai,Mixed,sefwibekwaishs@ges.gov.gh,Western North Region
Sefwi-Wawso Senior High School,Sefwi Wiawso,Sefwi-Wiawso,Mixed,sefwiwiawsoshs@ges.gov.gh,Western North Region
Sefwi-Wiawso Senior High/Technical School,Sefwi Wiawso,Sefwi-Wiawso,Mixed,sefwiwiawsoshst@ges.gov.gh,Western North Region
"St. Joseph Senior High School, Sefwi Wiawso",Sefwi Wiawso,Sefwi Wiawso,Mixed,stjosephshs@ges.gov.gh,Western North Region
Bamboi Community Senior High School,Bole,Bamboi,Mixed,bamboicommshs@ges.gov.gh,Savannah Region
Bole Senior High School,Bole,Bole,Mixed,boleshs@ges.gov.gh,Savannah Region
Buipe Senior High School,Central Gonja,Buipe,Mixed,buipeshs@ges.gov.gh,Savannah Region
Buipe Tech/Voc Inst.,Central Gonja,Buipe,Mixed,buipetechvocinst@ges.gov.gh,Savannah Region
Daboya Community Day School,North Gonja,Daboya,Mixed,daboyacommshs@ges.gov.gh,Savannah Region
Damongo Senior High School,West Gonja,Damongo,Mixed,damongoshs@ges.gov.gh,Savannah Region
Mpaha Community Day Senior High School,Central Gonja,Mpaha,Mixed,mphashs@ges.gov.gh,Savannah Region
Ndewura Jakpa Senior High/Technical School,West Gonja,Damongo,Mixed,ndewurajakpashst@ges.gov.gh,Savannah Region
Salaga Senior High School,East Gonja,Salaga,Mixed,salagashs@ges.gov.gh,Savannah Region
Salaga T.I. Ahmad Senior High School,East Gonja,Salaga,Mixed,salagatiahmadiyyashs@ges.gov.gh,Savannah Region
Sawla Senior High School,Sawla-Tuna-Kalba,Sawla,Mixed,sawlashs@ges.gov.gh,Savannah Region
St. Anthony Of Padua Senior High/Technical School,Bole,Bamboi,Mixed,stanthonyofpaduashs@ges.gov.gh,Savannah Region
Tuna Senior High/Technical School,Sawla-Tuna-Kalba,Tuna,Mixed,tunashst@ges.gov.gh,Savannah Region
Ahamansu Islamic Senior High School,Kadjebi,Ahamansu,Mixed,ahamansuislamicshs@ges.gov.gh,Oti Region
Asukawkaw Senior High School,Krachi East,Asukawkaw,Mixed,asukawkawshs@ges.gov.gh,Oti Region
Baglo Ridge Senior High/Technical School,Jasikan,Baglo,Mixed,bagloridgeshst@ges.gov.gh,Oti Region
Biakoye Community Day School,Biakoye,Kwamekrom,Mixed,biakoyecommdayshs@ges.gov.gh,Oti Region
Bowiri Community Day School,Biakoye,Bowiri,Mixed,bowiricommdayshs@ges.gov.gh,Oti Region
Bueman Senior High School,Jasikan,Jasikan,Mixed,buemanshs@ges.gov.gh,Oti Region
Dodi-Papase Senior High/Technical School,Kadjebi,Dodi Papase,Mixed,dodipapaseshst@ges.gov.gh,Oti Region
Fr. Dogli Memorial VocationalTechnical Institute,Jasikan,New Ayoma,Mixed,frdoglimemorialtechvocinst@ges.gov.gh,Oti Region
Kadjebi-Asato Senior High School,Kadjebi,Kadjeto-Asato,Mixed,kadjebiasatoshs@ges.gov.gh,Oti Region
Kete Krachi Senior High/Technical School,Krachi West,Kete-Krachi,Mixed,ketekrachishst@ges.gov.gh,Oti Region
Kpassa Senior High/Technical School,Nkwanta North,Kpassa,Mixed,kpassashst@ges.gov.gh,Oti Region
Krachi Senior High School,Krachi West,Kete-Krachi,Mixed,krachishs@ges.gov.gh,Oti Region
Kyabobo Girls Senior High School,Nkwanta South,Nkwanta,Female,kyabobogirlsshs@ges.gov.gh,Oti Region
Nchumuruman Community Day Senior High School,Krachi Nchumuru,[near] Tegbi,Mixed,nchumurumancommdayshs@ges.gov.gh,Oti Region
Nkonya Senior High School,Biakoye,Nkonya Ahenkro,Mixed,nkonyashs@ges.gov.gh,Oti Region
Nkwanta Comm Senior High School,Nkwanta South,Nkwanta,Mixed,nkwantacommshs@ges.gov.gh,Oti Region
Nkwanta Senior High School,Nkwanta South,Nkwanta,Mixed,nkwantashs@ges.gov.gh,Oti Region
Ntruboman Senior High School,Nkwanta South,Brewaniase,Mixed,ntrubomanshs@ges.gov.gh,Oti Region
Okadjakrom Senior High/Technical School,Jasikan,Okadjakrom,Mixed,okadjakromshst@ges.gov.gh,Oti Region
Oti Senior High/Technical School,Krachi East,Dambai,Mixed,otishst@ges.gov.gh,Oti Region
Tapaman Senior High/Technical School,Biakoye,Tapa Amanfrom,Mixed,tapamanshst@ges.gov.gh,Oti Region
Worawora Senior High School,Biakoye,Worawora,Mixed,woraworashs@ges.gov.gh,Oti Region
Yabram Community Day School,Krachi East,Dambai,Mixed,yabramcommdayshs@ges.gov.gh,Oti Region
Bunkpurugu Senior High/Technical School,North East Bunkrupgu-Yunguo,Bunkupurugu,Mixed,bunkpurugushst@ges.gov.gh,North East Region
Chereponi Senior High/Technical School,Chereponi,Chereponi,Mixed,chereponishst@ges.gov.gh,North East Region
Gambaga Girls Senior High School,East Mamprusi,Gambaga,Female,gambagagirlsshs@ges.gov.gh,North East Region
Janga Senior High/Technical School,West Mamprusi Municipal,Municipal Assembly,Male,jangashts@ges.gov.gh,North East Region
Langbinsi Senior High Technical School,East Mamprusi Municipal,Langbinsi,Mixed,langbinsishst@ges.gov.gh,North East Region
